package	severity	classification	document_line	kind	target	resolved	disposition	reason
rust-guidelines	warning	bundled-reference	SKILL.md:117	code span	15-cargo/04-cargo-publishing.md	rust-guidelines/15-cargo/04-cargo-publishing.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
rust-guidelines	warning	bundled-reference	SKILL.md:118	code span	15-cargo/05-cargo-configuration.md	rust-guidelines/15-cargo/05-cargo-configuration.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
rust-guidelines	warning	bundled-reference	SKILL.md:119	code span	15-cargo/06-cargo-advanced.md	rust-guidelines/15-cargo/06-cargo-advanced.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
rust-guidelines	warning	bundled-reference	SKILL.md:120	code span	15-cargo/07-lints-and-formatters.md	rust-guidelines/15-cargo/07-lints-and-formatters.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
rust-guidelines	warning	bundled-reference	SKILL.md:121	code span	15-cargo/08-manifest-and-workspace-advanced.md	rust-guidelines/15-cargo/08-manifest-and-workspace-advanced.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
rust-guidelines	warning	bundled-reference	SKILL.md:127	code span	14-cli-tools/01-project-setup.md	rust-guidelines/14-cli-tools/01-project-setup.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
rust-guidelines	warning	bundled-reference	SKILL.md:128	code span	14-cli-tools/02-argument-parsing.md	rust-guidelines/14-cli-tools/02-argument-parsing.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
rust-guidelines	warning	bundled-reference	SKILL.md:129	code span	14-cli-tools/03-error-handling.md	rust-guidelines/14-cli-tools/03-error-handling.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
rust-guidelines	warning	bundled-reference	SKILL.md:130	code span	14-cli-tools/04-output-and-ux.md	rust-guidelines/14-cli-tools/04-output-and-ux.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
rust-guidelines	warning	bundled-reference	SKILL.md:131	code span	14-cli-tools/05-configuration.md	rust-guidelines/14-cli-tools/05-configuration.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
rust-guidelines	warning	bundled-reference	SKILL.md:132	code span	14-cli-tools/06-testing.md	rust-guidelines/14-cli-tools/06-testing.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
rust-guidelines	warning	bundled-reference	SKILL.md:133	code span	14-cli-tools/07-distribution.md	rust-guidelines/14-cli-tools/07-distribution.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
rust-guidelines	warning	bundled-reference	SKILL.md:134	code span	14-cli-tools/08-advanced-topics.md	rust-guidelines/14-cli-tools/08-advanced-topics.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
rust-guidelines	warning	bundled-reference	SKILL.md:196	code span	14-cli-tools/README.md	rust-guidelines/14-cli-tools/README.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
rust-guidelines	warning	bundled-reference	SKILL.md:205	code span	15-cargo/README.md	rust-guidelines/15-cargo/README.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
rust-guidelines	warning	bundled-reference	SKILL.md:545	code span	14-cli-tools/README.md	rust-guidelines/14-cli-tools/README.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
rust-guidelines	warning	bundled-reference	SKILL.md:545	code span	14-cli-tools/01-project-setup.md	rust-guidelines/14-cli-tools/01-project-setup.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
rust-guidelines	warning	bundled-reference	SKILL.md:545	code span	14-cli-tools/02-argument-parsing.md	rust-guidelines/14-cli-tools/02-argument-parsing.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
rust-guidelines	warning	bundled-reference	SKILL.md:545	code span	14-cli-tools/04-output-and-ux.md	rust-guidelines/14-cli-tools/04-output-and-ux.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
rust-guidelines	warning	bundled-reference	SKILL.md:545	code span	14-cli-tools/08-advanced-topics.md	rust-guidelines/14-cli-tools/08-advanced-topics.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
rust-guidelines	warning	bundled-reference	SKILL.md:567	code span	15-cargo/04-cargo-publishing.md	rust-guidelines/15-cargo/04-cargo-publishing.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
rust-guidelines	warning	bundled-reference	SKILL.md:581	code span	15-cargo/07-lints-and-formatters.md	rust-guidelines/15-cargo/07-lints-and-formatters.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
rust-guidelines	warning	bundled-reference	SKILL.md:604	code span	14-cli-tools/README.md	rust-guidelines/14-cli-tools/README.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
rust-guidelines	warning	bundled-reference	SKILL.md:605	code span	15-cargo/01-cargo-basics.md	rust-guidelines/15-cargo/01-cargo-basics.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
rust-guidelines	warning	bundled-reference	SKILL.md:605	code span	15-cargo/02-cargo-build-system.md	rust-guidelines/15-cargo/02-cargo-build-system.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
rust-guidelines	warning	bundled-reference	SKILL.md:605	code span	15-cargo/08-manifest-and-workspace-advanced.md	rust-guidelines/15-cargo/08-manifest-and-workspace-advanced.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
rust-guidelines	warning	bundled-reference	SKILL.md:606	code span	15-cargo/04-cargo-publishing.md	rust-guidelines/15-cargo/04-cargo-publishing.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
cpp-guidelines	warning	bundled-reference	guides/03-functions.md:704	inline link	./param-passing-normal.png	cpp-guidelines/guides/param-passing-normal.png	transitional-warning	current guide links images not shipped in the package; Arc 02 will harmonise or remove the references
cpp-guidelines	warning	bundled-reference	guides/03-functions.md:708	inline link	./param-passing-advanced.png	cpp-guidelines/guides/param-passing-advanced.png	transitional-warning	current guide links images not shipped in the package; Arc 02 will harmonise or remove the references
javascript-deno-guidelines	warning	bundled-reference	guides/11-documentation.md:794	code span	12-deno/01-runtime-basics.md	javascript-deno-guidelines/guides/12-deno/01-runtime-basics.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
javascript-deno-guidelines	warning	bundled-reference	guides/11-documentation.md:794	code span	12-deno/02-testing.md	javascript-deno-guidelines/guides/12-deno/02-testing.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
javascript-deno-guidelines	warning	bundled-reference	guides/12-deno/12-03-task-runner.md:162	code span	12-deno/02-testing.md	javascript-deno-guidelines/guides/12-deno/12-deno/02-testing.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
javascript-deno-guidelines	warning	bundled-reference	guides/12-deno/12-03-task-runner.md:164	code span	12-deno/02-testing.md	javascript-deno-guidelines/guides/12-deno/12-deno/02-testing.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
javascript-deno-guidelines	warning	bundled-reference	guides/12-deno/12-03-task-runner.md:205	code span	12-deno/01-runtime-basics.md	javascript-deno-guidelines/guides/12-deno/12-deno/01-runtime-basics.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
javascript-deno-guidelines	warning	bundled-reference	guides/12-deno/12-03-task-runner.md:205	code span	13-biome/01-setup.md	javascript-deno-guidelines/guides/12-deno/13-biome/01-setup.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
javascript-deno-guidelines	warning	bundled-reference	guides/12-deno/12-03-task-runner.md:237	code span	13-biome/01-setup.md	javascript-deno-guidelines/guides/12-deno/13-biome/01-setup.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
javascript-deno-guidelines	warning	bundled-reference	guides/12-deno/12-03-task-runner.md:258	code span	12-deno/01-runtime-basics.md	javascript-deno-guidelines/guides/12-deno/12-deno/01-runtime-basics.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
javascript-deno-guidelines	warning	bundled-reference	guides/12-deno/12-03-task-runner.md:347	code span	12-deno/01-runtime-basics.md	javascript-deno-guidelines/guides/12-deno/12-deno/01-runtime-basics.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
javascript-deno-guidelines	warning	bundled-reference	guides/12-deno/12-03-task-runner.md:378	code span	12-deno/01-runtime-basics.md	javascript-deno-guidelines/guides/12-deno/12-deno/01-runtime-basics.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
javascript-deno-guidelines	warning	bundled-reference	guides/12-deno/12-03-task-runner.md:657	code span	12-deno/01-runtime-basics.md	javascript-deno-guidelines/guides/12-deno/12-deno/01-runtime-basics.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
javascript-deno-guidelines	warning	bundled-reference	guides/12-deno/12-03-task-runner.md:658	code span	12-deno/02-testing.md	javascript-deno-guidelines/guides/12-deno/12-deno/02-testing.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
javascript-deno-guidelines	warning	bundled-reference	guides/12-deno/12-03-task-runner.md:659	code span	12-deno/04-publishing.md	javascript-deno-guidelines/guides/12-deno/12-deno/04-publishing.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
javascript-deno-guidelines	warning	bundled-reference	guides/12-deno/12-03-task-runner.md:660	code span	13-biome/01-setup.md	javascript-deno-guidelines/guides/12-deno/13-biome/01-setup.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
javascript-deno-guidelines	warning	bundled-reference	guides/12-deno/12-02-testing.md:761	code span	12-deno/01-runtime-basics.md	javascript-deno-guidelines/guides/12-deno/12-deno/01-runtime-basics.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
javascript-deno-guidelines	warning	bundled-reference	guides/12-deno/12-02-testing.md:877	code span	12-deno/01-runtime-basics.md	javascript-deno-guidelines/guides/12-deno/12-deno/01-runtime-basics.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
javascript-deno-guidelines	warning	bundled-reference	guides/12-deno/12-01-runtime-basics.md:416	code span	13-biome/01-setup.md	javascript-deno-guidelines/guides/12-deno/13-biome/01-setup.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
javascript-deno-guidelines	warning	bundled-reference	guides/12-deno/12-01-runtime-basics.md:923	code span	12-deno/02-testing.md	javascript-deno-guidelines/guides/12-deno/12-deno/02-testing.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
javascript-deno-guidelines	warning	bundled-reference	guides/12-deno/12-01-runtime-basics.md:924	code span	12-deno/03-task-runner.md	javascript-deno-guidelines/guides/12-deno/12-deno/03-task-runner.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
javascript-deno-guidelines	warning	bundled-reference	guides/12-deno/12-01-runtime-basics.md:925	code span	12-deno/04-publishing.md	javascript-deno-guidelines/guides/12-deno/12-deno/04-publishing.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
javascript-deno-guidelines	warning	bundled-reference	guides/12-deno/12-04-publishing.md:445	code span	12-deno/02-testing.md	javascript-deno-guidelines/guides/12-deno/12-deno/02-testing.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
javascript-deno-guidelines	warning	bundled-reference	guides/12-deno/12-04-publishing.md:484	code span	12-deno/03-task-runner.md	javascript-deno-guidelines/guides/12-deno/12-deno/03-task-runner.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
javascript-deno-guidelines	warning	bundled-reference	guides/12-deno/12-04-publishing.md:612	code span	12-deno/01-runtime-basics.md	javascript-deno-guidelines/guides/12-deno/12-deno/01-runtime-basics.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
javascript-deno-guidelines	warning	bundled-reference	guides/12-deno/12-04-publishing.md:613	code span	12-deno/02-testing.md	javascript-deno-guidelines/guides/12-deno/12-deno/02-testing.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
javascript-deno-guidelines	warning	bundled-reference	guides/12-deno/12-04-publishing.md:614	code span	12-deno/03-task-runner.md	javascript-deno-guidelines/guides/12-deno/12-deno/03-task-runner.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
javascript-deno-guidelines	warning	bundled-reference	guides/02-api-design.md:985	code span	12-deno/01-runtime-basics.md	javascript-deno-guidelines/guides/12-deno/01-runtime-basics.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
javascript-deno-guidelines	warning	bundled-reference	guides/14-no-node-boundary.md:36	code span	12-deno/01-runtime-basics.md	javascript-deno-guidelines/guides/12-deno/01-runtime-basics.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
javascript-deno-guidelines	warning	bundled-reference	guides/14-no-node-boundary.md:84	code span	12-deno/01-runtime-basics.md	javascript-deno-guidelines/guides/12-deno/01-runtime-basics.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
javascript-deno-guidelines	warning	bundled-reference	guides/14-no-node-boundary.md:110	code span	12-deno/04-publishing.md	javascript-deno-guidelines/guides/12-deno/04-publishing.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
javascript-deno-guidelines	warning	bundled-reference	guides/14-no-node-boundary.md:136	code span	12-deno/01-runtime-basics.md	javascript-deno-guidelines/guides/12-deno/01-runtime-basics.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
javascript-deno-guidelines	warning	bundled-reference	guides/14-no-node-boundary.md:161	code span	12-deno/01-runtime-basics.md	javascript-deno-guidelines/guides/12-deno/01-runtime-basics.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
javascript-deno-guidelines	warning	bundled-reference	guides/14-no-node-boundary.md:185	code span	12-deno/03-task-runner.md	javascript-deno-guidelines/guides/12-deno/03-task-runner.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
javascript-deno-guidelines	warning	bundled-reference	guides/14-no-node-boundary.md:205	code span	13-biome/01-setup.md	javascript-deno-guidelines/guides/13-biome/01-setup.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
javascript-deno-guidelines	warning	bundled-reference	guides/14-no-node-boundary.md:238	code span	12-deno/01-runtime-basics.md	javascript-deno-guidelines/guides/12-deno/01-runtime-basics.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
javascript-deno-guidelines	warning	bundled-reference	guides/14-no-node-boundary.md:260	code span	12-deno/01-runtime-basics.md	javascript-deno-guidelines/guides/12-deno/01-runtime-basics.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
javascript-deno-guidelines	warning	bundled-reference	guides/14-no-node-boundary.md:278	code span	12-deno/01-runtime-basics.md	javascript-deno-guidelines/guides/12-deno/01-runtime-basics.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
javascript-deno-guidelines	warning	bundled-reference	guides/14-no-node-boundary.md:298	code span	12-deno/01-runtime-basics.md	javascript-deno-guidelines/guides/12-deno/01-runtime-basics.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
javascript-deno-guidelines	warning	bundled-reference	guides/14-no-node-boundary.md:318	code span	12-deno/01-runtime-basics.md	javascript-deno-guidelines/guides/12-deno/01-runtime-basics.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
javascript-deno-guidelines	warning	bundled-reference	guides/14-no-node-boundary.md:341	code span	12-deno/01-runtime-basics.md	javascript-deno-guidelines/guides/12-deno/01-runtime-basics.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
javascript-deno-guidelines	warning	bundled-reference	guides/14-no-node-boundary.md:365	code span	12-deno/01-runtime-basics.md	javascript-deno-guidelines/guides/12-deno/01-runtime-basics.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
javascript-deno-guidelines	warning	bundled-reference	guides/14-no-node-boundary.md:388	code span	12-deno/01-runtime-basics.md	javascript-deno-guidelines/guides/12-deno/01-runtime-basics.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
javascript-deno-guidelines	warning	bundled-reference	guides/14-no-node-boundary.md:495	code span	12-deno/02-testing.md	javascript-deno-guidelines/guides/12-deno/02-testing.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
javascript-deno-guidelines	warning	bundled-reference	guides/14-no-node-boundary.md:513	code span	13-biome/01-setup.md	javascript-deno-guidelines/guides/13-biome/01-setup.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
javascript-deno-guidelines	warning	bundled-reference	guides/14-no-node-boundary.md:513	code span	13-biome/03-formatting.md	javascript-deno-guidelines/guides/13-biome/03-formatting.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
javascript-deno-guidelines	warning	bundled-reference	guides/14-no-node-boundary.md:531	code span	12-deno/03-task-runner.md	javascript-deno-guidelines/guides/12-deno/03-task-runner.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
javascript-deno-guidelines	warning	bundled-reference	guides/14-no-node-boundary.md:554	code span	12-deno/01-runtime-basics.md	javascript-deno-guidelines/guides/12-deno/01-runtime-basics.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
javascript-deno-guidelines	warning	bundled-reference	guides/14-no-node-boundary.md:578	code span	12-deno/01-runtime-basics.md	javascript-deno-guidelines/guides/12-deno/01-runtime-basics.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
javascript-deno-guidelines	warning	bundled-reference	guides/14-no-node-boundary.md:599	code span	12-deno/01-runtime-basics.md	javascript-deno-guidelines/guides/12-deno/01-runtime-basics.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
javascript-deno-guidelines	warning	bundled-reference	guides/14-no-node-boundary.md:685	code span	12-deno/01-runtime-basics.md	javascript-deno-guidelines/guides/12-deno/01-runtime-basics.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
javascript-deno-guidelines	warning	bundled-reference	guides/14-no-node-boundary.md:686	code span	12-deno/02-testing.md	javascript-deno-guidelines/guides/12-deno/02-testing.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
javascript-deno-guidelines	warning	bundled-reference	guides/14-no-node-boundary.md:687	code span	12-deno/03-task-runner.md	javascript-deno-guidelines/guides/12-deno/03-task-runner.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
javascript-deno-guidelines	warning	bundled-reference	guides/14-no-node-boundary.md:688	code span	12-deno/04-publishing.md	javascript-deno-guidelines/guides/12-deno/04-publishing.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
javascript-deno-guidelines	warning	bundled-reference	guides/14-no-node-boundary.md:689	code span	13-biome/01-setup.md	javascript-deno-guidelines/guides/13-biome/01-setup.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
javascript-deno-guidelines	warning	bundled-reference	guides/13-biome/13-02-lint-rules.md:637	code span	13-biome/01-setup.md	javascript-deno-guidelines/guides/13-biome/13-biome/01-setup.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
javascript-deno-guidelines	warning	bundled-reference	guides/13-biome/13-02-lint-rules.md:638	code span	13-biome/03-formatting.md	javascript-deno-guidelines/guides/13-biome/13-biome/03-formatting.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
javascript-deno-guidelines	warning	bundled-reference	guides/13-biome/13-01-setup.md:50	code span	12-deno/01-runtime-basics.md	javascript-deno-guidelines/guides/13-biome/12-deno/01-runtime-basics.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
javascript-deno-guidelines	warning	bundled-reference	guides/13-biome/13-01-setup.md:50	code span	12-deno/03-task-runner.md	javascript-deno-guidelines/guides/13-biome/12-deno/03-task-runner.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
javascript-deno-guidelines	warning	bundled-reference	guides/13-biome/13-01-setup.md:296	code span	13-biome/02-lint-rules.md	javascript-deno-guidelines/guides/13-biome/13-biome/02-lint-rules.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
javascript-deno-guidelines	warning	bundled-reference	guides/13-biome/13-01-setup.md:331	code span	12-deno/03-task-runner.md	javascript-deno-guidelines/guides/13-biome/12-deno/03-task-runner.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
javascript-deno-guidelines	warning	bundled-reference	guides/13-biome/13-01-setup.md:444	code span	12-deno/01-runtime-basics.md	javascript-deno-guidelines/guides/13-biome/12-deno/01-runtime-basics.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
javascript-deno-guidelines	warning	bundled-reference	guides/13-biome/13-01-setup.md:444	code span	12-deno/03-task-runner.md	javascript-deno-guidelines/guides/13-biome/12-deno/03-task-runner.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
javascript-deno-guidelines	warning	bundled-reference	guides/13-biome/13-01-setup.md:478	code span	12-deno/03-task-runner.md	javascript-deno-guidelines/guides/13-biome/12-deno/03-task-runner.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
javascript-deno-guidelines	warning	bundled-reference	guides/13-biome/13-01-setup.md:572	code span	13-biome/03-formatting.md	javascript-deno-guidelines/guides/13-biome/13-biome/03-formatting.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
javascript-deno-guidelines	warning	bundled-reference	guides/13-biome/13-01-setup.md:628	code span	12-deno/01-runtime-basics.md	javascript-deno-guidelines/guides/13-biome/12-deno/01-runtime-basics.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
javascript-deno-guidelines	warning	bundled-reference	guides/13-biome/13-01-setup.md:629	code span	12-deno/03-task-runner.md	javascript-deno-guidelines/guides/13-biome/12-deno/03-task-runner.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
javascript-deno-guidelines	warning	bundled-reference	guides/13-biome/13-01-setup.md:630	code span	13-biome/02-lint-rules.md	javascript-deno-guidelines/guides/13-biome/13-biome/02-lint-rules.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
javascript-deno-guidelines	warning	bundled-reference	guides/13-biome/13-01-setup.md:631	code span	13-biome/03-formatting.md	javascript-deno-guidelines/guides/13-biome/13-biome/03-formatting.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
javascript-deno-guidelines	warning	bundled-reference	guides/13-biome/13-03-formatting.md:50	code span	13-biome/01-setup.md	javascript-deno-guidelines/guides/13-biome/13-biome/01-setup.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
javascript-deno-guidelines	warning	bundled-reference	guides/13-biome/13-03-formatting.md:51	code span	12-deno/03-task-runner.md	javascript-deno-guidelines/guides/13-biome/12-deno/03-task-runner.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
javascript-deno-guidelines	warning	bundled-reference	guides/13-biome/13-03-formatting.md:255	code span	13-biome/01-setup.md	javascript-deno-guidelines/guides/13-biome/13-biome/01-setup.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
javascript-deno-guidelines	warning	bundled-reference	guides/13-biome/13-03-formatting.md:334	code span	13-biome/02-lint-rules.md	javascript-deno-guidelines/guides/13-biome/13-biome/02-lint-rules.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
javascript-deno-guidelines	warning	bundled-reference	guides/13-biome/13-03-formatting.md:441	code span	13-biome/01-setup.md	javascript-deno-guidelines/guides/13-biome/13-biome/01-setup.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
javascript-deno-guidelines	warning	bundled-reference	guides/13-biome/13-03-formatting.md:442	code span	13-biome/02-lint-rules.md	javascript-deno-guidelines/guides/13-biome/13-biome/02-lint-rules.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
javascript-deno-guidelines	warning	bundled-reference	guides/13-biome/13-03-formatting.md:443	code span	12-deno/03-task-runner.md	javascript-deno-guidelines/guides/13-biome/12-deno/03-task-runner.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
