package	document_line	kind	target	resolved	disposition	candidate_disposition
rust-guidelines	SKILL.md:128	code span	14-cli-tools/02-argument-parsing.md	rust-guidelines/14-cli-tools/02-argument-parsing.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
rust-guidelines	SKILL.md:129	code span	14-cli-tools/03-error-handling.md	rust-guidelines/14-cli-tools/03-error-handling.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
rust-guidelines	SKILL.md:130	code span	14-cli-tools/04-output-and-ux.md	rust-guidelines/14-cli-tools/04-output-and-ux.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
rust-guidelines	SKILL.md:131	code span	14-cli-tools/05-configuration.md	rust-guidelines/14-cli-tools/05-configuration.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
rust-guidelines	SKILL.md:132	code span	14-cli-tools/06-testing.md	rust-guidelines/14-cli-tools/06-testing.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
rust-guidelines	SKILL.md:133	code span	14-cli-tools/07-distribution.md	rust-guidelines/14-cli-tools/07-distribution.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
rust-guidelines	SKILL.md:134	code span	14-cli-tools/08-advanced-topics.md	rust-guidelines/14-cli-tools/08-advanced-topics.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
rust-guidelines	SKILL.md:196	code span	14-cli-tools/README.md	rust-guidelines/14-cli-tools/README.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
rust-guidelines	SKILL.md:205	code span	15-cargo/README.md	rust-guidelines/15-cargo/README.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
rust-guidelines	SKILL.md:545	code span	14-cli-tools/README.md	rust-guidelines/14-cli-tools/README.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
rust-guidelines	SKILL.md:545	code span	14-cli-tools/01-project-setup.md	rust-guidelines/14-cli-tools/01-project-setup.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
rust-guidelines	SKILL.md:545	code span	14-cli-tools/02-argument-parsing.md	rust-guidelines/14-cli-tools/02-argument-parsing.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
rust-guidelines	SKILL.md:545	code span	14-cli-tools/04-output-and-ux.md	rust-guidelines/14-cli-tools/04-output-and-ux.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
rust-guidelines	SKILL.md:545	code span	14-cli-tools/08-advanced-topics.md	rust-guidelines/14-cli-tools/08-advanced-topics.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
rust-guidelines	SKILL.md:567	code span	15-cargo/04-cargo-publishing.md	rust-guidelines/15-cargo/04-cargo-publishing.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
rust-guidelines	SKILL.md:581	code span	15-cargo/07-lints-and-formatters.md	rust-guidelines/15-cargo/07-lints-and-formatters.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
rust-guidelines	SKILL.md:604	code span	14-cli-tools/README.md	rust-guidelines/14-cli-tools/README.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
rust-guidelines	SKILL.md:605	code span	15-cargo/01-cargo-basics.md	rust-guidelines/15-cargo/01-cargo-basics.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
rust-guidelines	SKILL.md:605	code span	15-cargo/02-cargo-build-system.md	rust-guidelines/15-cargo/02-cargo-build-system.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
rust-guidelines	SKILL.md:605	code span	15-cargo/08-manifest-and-workspace-advanced.md	rust-guidelines/15-cargo/08-manifest-and-workspace-advanced.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
rust-guidelines	SKILL.md:606	code span	15-cargo/04-cargo-publishing.md	rust-guidelines/15-cargo/04-cargo-publishing.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
javascript-deno-guidelines	SKILL.md:42	code span	knowledge/js/guides/09-anti-patterns.md	javascript-deno-guidelines/knowledge/js/guides/09-anti-patterns.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
javascript-deno-guidelines	SKILL.md:43	code span	knowledge/js/guides/01-core-idioms.md	javascript-deno-guidelines/knowledge/js/guides/01-core-idioms.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
javascript-deno-guidelines	SKILL.md:43	code span	knowledge/js/guides/10-project-structure.md	javascript-deno-guidelines/knowledge/js/guides/10-project-structure.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
javascript-deno-guidelines	SKILL.md:43	code span	knowledge/js/guides/02-api-design.md	javascript-deno-guidelines/knowledge/js/guides/02-api-design.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
javascript-deno-guidelines	SKILL.md:44	code span	knowledge/js/guides/01-core-idioms.md	javascript-deno-guidelines/knowledge/js/guides/01-core-idioms.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
javascript-deno-guidelines	SKILL.md:44	code span	knowledge/js/guides/06-functions-closures.md	javascript-deno-guidelines/knowledge/js/guides/06-functions-closures.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
javascript-deno-guidelines	SKILL.md:44	code span	knowledge/js/guides/09-anti-patterns.md	javascript-deno-guidelines/knowledge/js/guides/09-anti-patterns.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
javascript-deno-guidelines	SKILL.md:45	code span	knowledge/js/guides/02-api-design.md	javascript-deno-guidelines/knowledge/js/guides/02-api-design.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
javascript-deno-guidelines	SKILL.md:45	code span	knowledge/js/guides/06-functions-closures.md	javascript-deno-guidelines/knowledge/js/guides/06-functions-closures.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
javascript-deno-guidelines	SKILL.md:45	code span	knowledge/js/guides/05-type-discipline.md	javascript-deno-guidelines/knowledge/js/guides/05-type-discipline.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
javascript-deno-guidelines	SKILL.md:46	code span	knowledge/js/guides/03-error-handling.md	javascript-deno-guidelines/knowledge/js/guides/03-error-handling.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
javascript-deno-guidelines	SKILL.md:46	code span	knowledge/js/guides/07-async-concurrency.md	javascript-deno-guidelines/knowledge/js/guides/07-async-concurrency.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
javascript-deno-guidelines	SKILL.md:47	code span	knowledge/js/guides/09-anti-patterns.md	javascript-deno-guidelines/knowledge/js/guides/09-anti-patterns.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
javascript-deno-guidelines	SKILL.md:47	code span	knowledge/js/guides/01-core-idioms.md	javascript-deno-guidelines/knowledge/js/guides/01-core-idioms.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
javascript-deno-guidelines	SKILL.md:47	code span	knowledge/js/guides/04-values-references.md	javascript-deno-guidelines/knowledge/js/guides/04-values-references.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
javascript-deno-guidelines	SKILL.md:48	code span	knowledge/js/guides/09-anti-patterns.md	javascript-deno-guidelines/knowledge/js/guides/09-anti-patterns.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
javascript-deno-guidelines	SKILL.md:48	code span	knowledge/js/guides/01-core-idioms.md	javascript-deno-guidelines/knowledge/js/guides/01-core-idioms.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
javascript-deno-guidelines	SKILL.md:48	code span	knowledge/js/guides/08-performance.md	javascript-deno-guidelines/knowledge/js/guides/08-performance.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
javascript-deno-guidelines	SKILL.md:49	code span	knowledge/js/guides/12-deno/12-02-testing.md	javascript-deno-guidelines/knowledge/js/guides/12-deno/12-02-testing.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
javascript-deno-guidelines	SKILL.md:49	code span	knowledge/js/guides/03-error-handling.md	javascript-deno-guidelines/knowledge/js/guides/03-error-handling.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
javascript-deno-guidelines	SKILL.md:50	code span	knowledge/js/guides/12-deno/12-02-testing.md	javascript-deno-guidelines/knowledge/js/guides/12-deno/12-02-testing.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
javascript-deno-guidelines	SKILL.md:50	code span	knowledge/js/guides/03-error-handling.md	javascript-deno-guidelines/knowledge/js/guides/03-error-handling.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
javascript-deno-guidelines	SKILL.md:50	code span	knowledge/js/guides/07-async-concurrency.md	javascript-deno-guidelines/knowledge/js/guides/07-async-concurrency.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
javascript-deno-guidelines	SKILL.md:51	code span	knowledge/js/guides/08-performance.md	javascript-deno-guidelines/knowledge/js/guides/08-performance.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
javascript-deno-guidelines	SKILL.md:51	code span	knowledge/js/guides/07-async-concurrency.md	javascript-deno-guidelines/knowledge/js/guides/07-async-concurrency.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
javascript-deno-guidelines	SKILL.md:52	code span	knowledge/js/guides/11-documentation.md	javascript-deno-guidelines/knowledge/js/guides/11-documentation.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
javascript-deno-guidelines	SKILL.md:52	code span	knowledge/js/guides/05-type-discipline.md	javascript-deno-guidelines/knowledge/js/guides/05-type-discipline.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
javascript-deno-guidelines	SKILL.md:53	code span	knowledge/js/guides/10-project-structure.md	javascript-deno-guidelines/knowledge/js/guides/10-project-structure.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
javascript-deno-guidelines	SKILL.md:53	code span	knowledge/js/guides/12-deno/12-01-runtime-basics.md	javascript-deno-guidelines/knowledge/js/guides/12-deno/12-01-runtime-basics.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
javascript-deno-guidelines	SKILL.md:54	code span	knowledge/js/guides/12-deno/12-03-task-runner.md	javascript-deno-guidelines/knowledge/js/guides/12-deno/12-03-task-runner.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
javascript-deno-guidelines	SKILL.md:55	code span	knowledge/js/guides/12-deno/12-04-publishing.md	javascript-deno-guidelines/knowledge/js/guides/12-deno/12-04-publishing.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
javascript-deno-guidelines	SKILL.md:55	code span	knowledge/js/guides/11-documentation.md	javascript-deno-guidelines/knowledge/js/guides/11-documentation.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
javascript-deno-guidelines	SKILL.md:55	code span	knowledge/js/guides/05-type-discipline.md	javascript-deno-guidelines/knowledge/js/guides/05-type-discipline.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
javascript-deno-guidelines	SKILL.md:56	code span	knowledge/js/guides/12-deno/12-01-runtime-basics.md	javascript-deno-guidelines/knowledge/js/guides/12-deno/12-01-runtime-basics.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
javascript-deno-guidelines	SKILL.md:56	code span	knowledge/js/guides/01-core-idioms.md	javascript-deno-guidelines/knowledge/js/guides/01-core-idioms.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
javascript-deno-guidelines	SKILL.md:56	code span	knowledge/js/guides/14-no-node-boundary.md	javascript-deno-guidelines/knowledge/js/guides/14-no-node-boundary.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
javascript-deno-guidelines	SKILL.md:57	code span	knowledge/js/guides/14-no-node-boundary.md	javascript-deno-guidelines/knowledge/js/guides/14-no-node-boundary.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
javascript-deno-guidelines	SKILL.md:57	code span	knowledge/js/guides/12-deno/12-01-runtime-basics.md	javascript-deno-guidelines/knowledge/js/guides/12-deno/12-01-runtime-basics.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
javascript-deno-guidelines	SKILL.md:58	code span	knowledge/js/guides/07-async-concurrency.md	javascript-deno-guidelines/knowledge/js/guides/07-async-concurrency.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
javascript-deno-guidelines	SKILL.md:58	code span	knowledge/js/guides/03-error-handling.md	javascript-deno-guidelines/knowledge/js/guides/03-error-handling.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
javascript-deno-guidelines	SKILL.md:59	code span	knowledge/js/guides/04-values-references.md	javascript-deno-guidelines/knowledge/js/guides/04-values-references.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
javascript-deno-guidelines	SKILL.md:59	code span	knowledge/js/guides/01-core-idioms.md	javascript-deno-guidelines/knowledge/js/guides/01-core-idioms.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
javascript-deno-guidelines	SKILL.md:60	code span	knowledge/js/guides/05-type-discipline.md	javascript-deno-guidelines/knowledge/js/guides/05-type-discipline.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
javascript-deno-guidelines	SKILL.md:60	code span	knowledge/js/guides/11-documentation.md	javascript-deno-guidelines/knowledge/js/guides/11-documentation.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
javascript-deno-guidelines	SKILL.md:61	code span	knowledge/js/guides/13-biome/13-01-setup.md	javascript-deno-guidelines/knowledge/js/guides/13-biome/13-01-setup.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
javascript-deno-guidelines	SKILL.md:61	code span	knowledge/js/guides/13-biome/13-02-lint-rules.md	javascript-deno-guidelines/knowledge/js/guides/13-biome/13-02-lint-rules.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
javascript-deno-guidelines	SKILL.md:61	code span	knowledge/js/guides/13-biome/13-03-formatting.md	javascript-deno-guidelines/knowledge/js/guides/13-biome/13-03-formatting.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
javascript-deno-guidelines	SKILL.md:69	code span	knowledge/js/guides/09-anti-patterns.md	javascript-deno-guidelines/knowledge/js/guides/09-anti-patterns.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
javascript-deno-guidelines	SKILL.md:70	code span	knowledge/js/guides/01-core-idioms.md	javascript-deno-guidelines/knowledge/js/guides/01-core-idioms.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
javascript-deno-guidelines	SKILL.md:94	code span	12-deno/12-02-testing.md	javascript-deno-guidelines/12-deno/12-02-testing.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
javascript-deno-guidelines	SKILL.md:671	code span	knowledge/js/guides/09-anti-patterns.md	javascript-deno-guidelines/knowledge/js/guides/09-anti-patterns.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
javascript-deno-guidelines	SKILL.md:671	code span	knowledge/js/guides/01-core-idioms.md	javascript-deno-guidelines/knowledge/js/guides/01-core-idioms.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
javascript-deno-guidelines	SKILL.md:671	code span	knowledge/js/guides/07-async-concurrency.md	javascript-deno-guidelines/knowledge/js/guides/07-async-concurrency.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
javascript-deno-guidelines	SKILL.md:671	code span	knowledge/js/guides/03-error-handling.md	javascript-deno-guidelines/knowledge/js/guides/03-error-handling.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
javascript-deno-guidelines	SKILL.md:683	code span	knowledge/js/guides/02-api-design.md	javascript-deno-guidelines/knowledge/js/guides/02-api-design.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
javascript-deno-guidelines	SKILL.md:683	code span	knowledge/js/guides/06-functions-closures.md	javascript-deno-guidelines/knowledge/js/guides/06-functions-closures.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
javascript-deno-guidelines	SKILL.md:683	code span	knowledge/js/guides/03-error-handling.md	javascript-deno-guidelines/knowledge/js/guides/03-error-handling.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
javascript-deno-guidelines	SKILL.md:683	code span	knowledge/js/guides/05-type-discipline.md	javascript-deno-guidelines/knowledge/js/guides/05-type-discipline.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
javascript-deno-guidelines	SKILL.md:693	code span	knowledge/js/guides/12-deno/12-02-testing.md	javascript-deno-guidelines/knowledge/js/guides/12-deno/12-02-testing.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
javascript-deno-guidelines	SKILL.md:693	code span	knowledge/js/guides/03-error-handling.md	javascript-deno-guidelines/knowledge/js/guides/03-error-handling.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
javascript-deno-guidelines	SKILL.md:704	code span	knowledge/js/guides/12-deno/12-01-runtime-basics.md	javascript-deno-guidelines/knowledge/js/guides/12-deno/12-01-runtime-basics.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
javascript-deno-guidelines	SKILL.md:704	code span	knowledge/js/guides/01-core-idioms.md	javascript-deno-guidelines/knowledge/js/guides/01-core-idioms.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
javascript-deno-guidelines	SKILL.md:704	code span	knowledge/js/guides/09-anti-patterns.md	javascript-deno-guidelines/knowledge/js/guides/09-anti-patterns.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
javascript-deno-guidelines	SKILL.md:716	code span	knowledge/js/guides/10-project-structure.md	javascript-deno-guidelines/knowledge/js/guides/10-project-structure.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
javascript-deno-guidelines	SKILL.md:716	code span	knowledge/js/guides/12-deno/12-03-task-runner.md	javascript-deno-guidelines/knowledge/js/guides/12-deno/12-03-task-runner.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
javascript-deno-guidelines	SKILL.md:716	code span	knowledge/js/guides/01-core-idioms.md	javascript-deno-guidelines/knowledge/js/guides/01-core-idioms.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
javascript-deno-guidelines	SKILL.md:728	code span	knowledge/js/guides/13-biome/13-01-setup.md	javascript-deno-guidelines/knowledge/js/guides/13-biome/13-01-setup.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
javascript-deno-guidelines	SKILL.md:728	code span	knowledge/js/guides/13-biome/13-02-lint-rules.md	javascript-deno-guidelines/knowledge/js/guides/13-biome/13-02-lint-rules.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
javascript-deno-guidelines	SKILL.md:728	code span	knowledge/js/guides/13-biome/13-03-formatting.md	javascript-deno-guidelines/knowledge/js/guides/13-biome/13-03-formatting.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
javascript-deno-guidelines	SKILL.md:742	code span	knowledge/js/guides/14-no-node-boundary.md	javascript-deno-guidelines/knowledge/js/guides/14-no-node-boundary.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
javascript-deno-guidelines	SKILL.md:742	code span	knowledge/js/guides/12-deno/12-01-runtime-basics.md	javascript-deno-guidelines/knowledge/js/guides/12-deno/12-01-runtime-basics.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
javascript-deno-guidelines	SKILL.md:742	code span	knowledge/js/guides/01-core-idioms.md	javascript-deno-guidelines/knowledge/js/guides/01-core-idioms.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
javascript-deno-guidelines	SKILL.md:742	code span	knowledge/js/guides/09-anti-patterns.md	javascript-deno-guidelines/knowledge/js/guides/09-anti-patterns.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
javascript-deno-guidelines	SKILL.md:759	code span	knowledge/js/guides/08-performance.md	javascript-deno-guidelines/knowledge/js/guides/08-performance.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
javascript-deno-guidelines	SKILL.md:759	code span	knowledge/js/guides/07-async-concurrency.md	javascript-deno-guidelines/knowledge/js/guides/07-async-concurrency.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
javascript-deno-guidelines	SKILL.md:759	code span	knowledge/js/guides/09-anti-patterns.md	javascript-deno-guidelines/knowledge/js/guides/09-anti-patterns.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
